# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "RNA_seq_workflow/annotation/Hordeum_vulgare.MorexV3_pseudomolecules_assembly.60.chr.gff3" "-o" "RNA_seq_workflow/output/4_final_counts/gene_counts.txt" "-t" "gene" "-g" "gene_id" "-p" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437484.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437485.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437482.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437483.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437480.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437481.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437478.sorted.bam" "RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437479.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437484.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437485.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437482.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437483.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437480.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437481.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437478.sorted.bam	RNA_seq_workflow/output/3_aligned_sequences/aligned_bam/SRR8437479.sorted.bam
HORVU.MOREX.r3.2HG0165370	2H	454563047	454564577	-	1531	3824	1896	2260	3139	1870	2358	2013	2099
HORVU.MOREX.r3.2HG0165400	2H	454590456	454591595	-	1140	4	0	1	0	0	0	1	0
HORVU.MOREX.r3.2HG0165420	2H	454758145	454758807	-	663	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0165430	2H	454785460	454786233	+	774	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0165440	2H	454795617	454796390	+	774	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0165450	2H	454890476	454892093	-	1618	99	70	143	139	119	88	77	129
HORVU.MOREX.r3.2HG0165490	2H	455172395	455174031	+	1637	1757	4773	2820	2142	4009	4121	2093	2729
HORVU.MOREX.r3.2HG0165510	2H	455444056	455447628	-	3573	2200	2059	2328	2058	1843	2317	2365	2291
HORVU.MOREX.r3.2HG0165520	2H	455665380	455665934	-	555	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0165550	2H	455671467	455672808	+	1342	105	127	224	163	154	138	174	219
HORVU.MOREX.r3.2HG0165640	2H	456029707	456030472	-	766	207	120	138	134	94	114	120	146
HORVU.MOREX.r3.2HG0165730	2H	457040257	457041405	-	1149	144	76	257	122	160	68	115	114
HORVU.MOREX.r3.2HG0165740	2H	457042829	457044908	-	2080	4111	3624	1974	3202	3292	3546	2671	3274
HORVU.MOREX.r3.2HG0165750	2H	457075455	457077189	-	1735	12	10	14	20	2	10	3	5
HORVU.MOREX.r3.2HG0165770	2H	457411252	457417473	+	6222	684	533	531	423	453	630	423	574
HORVU.MOREX.r3.2HG0165780	2H	457636956	457649653	-	12698	2119	1513	2653	1273	1333	1973	2637	2067
HORVU.MOREX.r3.2HG0165790	2H	457741787	457750350	-	8564	898	748	1809	873	893	971	1276	1426
HORVU.MOREX.r3.2HG0165820	2H	457977997	457983557	+	5561	724	636	596	536	477	709	524	559
HORVU.MOREX.r3.2HG0165830	2H	457983831	457986980	+	3150	9296	7858	11510	8266	7469	10298	8918	11256
HORVU.MOREX.r3.2HG0165840	2H	457987056	457991012	-	3957	406	590	971	537	608	767	715	768
HORVU.MOREX.r3.2HG0165850	2H	458437445	458437672	-	228	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0165860	2H	458568037	458570233	+	2197	5702	7066	5497	5304	6252	6904	5465	6431
HORVU.MOREX.r3.2HG0165880	2H	458631773	458635606	+	3834	200	120	167	107	96	165	130	139
HORVU.MOREX.r3.2HG0165890	2H	458636522	458638028	+	1507	0	6	0	2	4	2	5	1
HORVU.MOREX.r3.2HG0165900	2H	458782724	458784235	+	1512	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0165920	2H	459173494	459175082	-	1589	2	2	0	2	0	2	2	0
HORVU.MOREX.r3.2HG0165930	2H	459210635	459211024	-	390	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0165940	2H	459212482	459213140	-	659	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0165960	2H	459602914	459603621	+	708	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0165970	2H	459837292	459837955	-	664	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0165980	2H	459838058	459838438	-	381	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0166000	2H	460007988	460008266	+	279	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0166040	2H	460069408	460069605	+	198	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0166060	2H	460107921	460108570	-	650	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0166090	2H	460537768	460538770	-	1003	9	6	2	6	27	7	6	9
HORVU.MOREX.r3.2HG0166240	2H	461434198	461440712	+	6515	1895	1811	2338	2349	2343	2102	2084	2463
HORVU.MOREX.r3.2HG0166260	2H	461773450	461778772	+	5323	510	448	519	443	436	659	529	549
HORVU.MOREX.r3.2HG0166270	2H	461859714	461860454	+	741	2261	4095	4459	2946	2619	4176	3227	3535
HORVU.MOREX.r3.2HG0166290	2H	462113969	462114637	+	669	51	51	130	51	55	38	42	64
HORVU.MOREX.r3.2HG0166300	2H	462116078	462120590	+	4513	2248	1847	2933	2133	1698	2416	2638	3040
HORVU.MOREX.r3.2HG0166310	2H	462258026	462260036	+	2011	956	1528	3847	1470	2248	1976	2837	3221
HORVU.MOREX.r3.2HG0166320	2H	462296345	462297510	+	1166	24	27	40	24	12	26	24	30
HORVU.MOREX.r3.2HG0166330	2H	462298137	462299714	+	1578	0	0	0	0	0	0	2	0
HORVU.MOREX.r3.2HG0166360	2H	462530504	462538371	+	7868	379	390	184	249	281	456	343	329
HORVU.MOREX.r3.2HG0166370	2H	462538682	462542668	-	3987	278	220	380	188	233	242	317	271
HORVU.MOREX.r3.2HG0166410	2H	462555528	462556058	+	531	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0166450	2H	463137922	463141663	+	3742	0	0	0	0	2	0	4	0
HORVU.MOREX.r3.2HG0166550	2H	463450336	463451469	+	1134	166	163	158	148	168	169	151	155
HORVU.MOREX.r3.2HG0166570	2H	463521422	463522287	-	866	5	6	11	8	12	2	10	12
HORVU.MOREX.r3.2HG0166590	2H	463902933	463909615	+	6683	1434	1278	1171	1069	1091	1358	1210	1392
HORVU.MOREX.r3.2HG0166630	2H	464172729	464178484	+	5756	2138	2099	1870	1570	1911	2056	1794	2087
HORVU.MOREX.r3.2HG0166670	2H	464314222	464316394	+	2173	139	125	79	152	109	141	119	128
HORVU.MOREX.r3.2HG0166680	2H	464317193	464318098	-	906	88	93	100	132	112	150	83	86
HORVU.MOREX.r3.2HG0166740	2H	464946360	464948003	+	1644	62	40	51	23	16	36	39	52
HORVU.MOREX.r3.2HG0166760	2H	465133299	465133646	+	348	28	23	18	14	9	17	12	8
HORVU.MOREX.r3.2HG0166780	2H	465345247	465346020	-	774	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0166800	2H	465479591	465480640	+	1050	4	0	4	0	4	0	0	0
HORVU.MOREX.r3.2HG0166820	2H	465559977	465560472	-	496	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0166840	2H	465670315	465671933	+	1619	823	435	433	485	266	492	421	406
HORVU.MOREX.r3.2HG0166850	2H	465843378	465843878	-	501	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0166860	2H	466089000	466090166	+	1167	2	0	0	4	8	0	0	0
HORVU.MOREX.r3.2HG0166910	2H	466097421	466099291	-	1871	108	57	77	86	49	78	72	78
HORVU.MOREX.r3.2HG0166930	2H	466881374	466882078	-	705	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0166980	2H	467502524	467503187	+	664	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167030	2H	467716380	467737439	-	21060	662	575	580	545	523	461	511	603
HORVU.MOREX.r3.2HG0167040	2H	468103121	468103843	+	723	0	0	2	0	4	0	2	2
HORVU.MOREX.r3.2HG0167050	2H	468190905	468191594	-	690	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167060	2H	468295999	468296759	+	761	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167190	2H	468653201	468653739	+	539	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167200	2H	468703956	468705226	+	1271	1395	1416	2279	1472	1300	1725	1358	1716
HORVU.MOREX.r3.2HG0167210	2H	468705268	468710114	-	4847	133	109	99	109	81	123	73	115
HORVU.MOREX.r3.2HG0167220	2H	468891892	468896081	+	4190	7993	11164	18159	8139	11599	12738	10506	11070
HORVU.MOREX.r3.2HG0167230	2H	468947046	468950109	+	3064	13	10	5	4	16	7	18	9
HORVU.MOREX.r3.2HG0167280	2H	469331449	469332655	-	1207	0	2	17	1	0	0	15	4
HORVU.MOREX.r3.2HG0167300	2H	469410889	469411894	-	1006	10	6	16	6	14	5	10	5
HORVU.MOREX.r3.2HG0167320	2H	469780133	469782403	-	2271	0	0	2	1	0	0	2	2
HORVU.MOREX.r3.2HG0167350	2H	470053808	470055542	-	1735	412	169	244	284	117	194	124	162
HORVU.MOREX.r3.2HG0167390	2H	470400106	470401581	-	1476	261	266	241	270	268	381	216	338
HORVU.MOREX.r3.2HG0167400	2H	470675629	470681079	-	5451	314	361	275	227	246	386	258	314
HORVU.MOREX.r3.2HG0167410	2H	470839212	470839979	-	768	17	26	4	8	8	36	8	8
HORVU.MOREX.r3.2HG0167420	2H	471060368	471061364	-	997	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167440	2H	471235897	471236271	-	375	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167460	2H	471269666	471271355	+	1690	1588	2013	1939	1497	1885	2198	1842	2177
HORVU.MOREX.r3.2HG0167500	2H	471627574	471629150	+	1577	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167540	2H	471937284	471939824	+	2541	7270	6216	7140	5781	5678	7353	6744	7974
HORVU.MOREX.r3.2HG0167550	2H	471944308	471945258	+	951	120	118	168	54	143	125	111	127
HORVU.MOREX.r3.2HG0167570	2H	472170226	472170636	+	411	0	0	0	0	3	2	1	0
HORVU.MOREX.r3.2HG0167590	2H	472172771	472174522	+	1752	12	7	23	14	14	18	15	20
HORVU.MOREX.r3.2HG0167610	2H	472269503	472271161	-	1659	0	0	2	0	0	0	0	0
HORVU.MOREX.r3.2HG0167620	2H	472395052	472397839	-	2788	718	585	1396	668	560	685	1049	836
HORVU.MOREX.r3.2HG0167650	2H	472570040	472584238	-	14199	3259	2889	2420	1974	2795	3304	2804	2829
HORVU.MOREX.r3.2HG0167660	2H	472772716	472780800	+	8085	2568	2080	2120	1787	2093	2063	1968	2352
HORVU.MOREX.r3.2HG0167670	2H	472811986	472812318	+	333	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167750	2H	473015509	473018225	-	2717	80	50	71	79	34	53	67	49
HORVU.MOREX.r3.2HG0167780	2H	473022605	473025179	-	2575	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167910	2H	473144928	473147621	-	2694	8	12	2	0	14	4	4	10
HORVU.MOREX.r3.2HG0167950	2H	473373686	473375553	-	1868	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167960	2H	473540253	473540772	-	520	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167970	2H	473616711	473621476	-	4766	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0167990	2H	473641787	473646433	-	4647	177	44	105	39	19	46	109	59
HORVU.MOREX.r3.2HG0168030	2H	473788132	473789364	+	1233	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168040	2H	473822308	473823540	+	1233	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168050	2H	473933962	473934768	-	807	5	0	12	0	8	2	4	5
HORVU.MOREX.r3.2HG0168060	2H	474125150	474126991	+	1842	126	102	88	98	123	103	93	119
HORVU.MOREX.r3.2HG0168070	2H	474127140	474128742	-	1603	1	0	0	0	2	0	0	2
HORVU.MOREX.r3.2HG0168090	2H	474282618	474286043	+	3426	1453	1172	892	958	1127	1395	999	1283
HORVU.MOREX.r3.2HG0168100	2H	474376289	474377417	+	1129	32	40	49	18	23	27	29	43
HORVU.MOREX.r3.2HG0168110	2H	474382782	474383658	+	877	31397	16504	61958	40898	17001	19069	31645	32632
HORVU.MOREX.r3.2HG0168120	2H	474655320	474656608	+	1289	1893	1726	2636	2163	1693	1445	1000	1141
HORVU.MOREX.r3.2HG0168170	2H	474669924	474673500	-	3577	754	751	695	589	629	850	548	741
HORVU.MOREX.r3.2HG0168200	2H	474803952	474804656	-	705	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168210	2H	474837896	474840836	-	2941	1346	1189	1191	1025	907	1270	1076	1132
HORVU.MOREX.r3.2HG0168260	2H	475497806	475502335	+	4530	574	371	440	366	355	427	392	474
HORVU.MOREX.r3.2HG0168270	2H	475636563	475650552	+	13990	304	289	271	251	209	243	311	329
HORVU.MOREX.r3.2HG0168310	2H	475735626	475738921	-	3296	8587	8808	12507	9578	6459	10039	9192	10065
HORVU.MOREX.r3.2HG0168320	2H	475915772	475916476	-	705	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168330	2H	475927451	475935758	+	8308	1697	1589	3086	1857	1438	1689	1825	1911
HORVU.MOREX.r3.2HG0168350	2H	476071134	476074581	+	3448	42	27	59	25	27	21	43	39
HORVU.MOREX.r3.2HG0168360	2H	476191021	476191716	+	696	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168370	2H	476191738	476192784	+	1047	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168400	2H	476660001	476661860	-	1860	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168470	2H	476728092	476729236	-	1145	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168480	2H	476752021	476754254	-	2234	171	149	780	350	226	220	484	354
HORVU.MOREX.r3.2HG0168520	2H	476884258	476889555	+	5298	72	58	121	84	75	64	100	88
HORVU.MOREX.r3.2HG0168560	2H	477097984	477099839	+	1856	402	730	297	413	523	465	488	648
HORVU.MOREX.r3.2HG0168570	2H	477296714	477299598	+	2885	9	46	12	12	20	42	14	47
HORVU.MOREX.r3.2HG0168580	2H	477301156	477302869	-	1714	387	481	435	393	622	541	416	507
HORVU.MOREX.r3.2HG0168590	2H	477303194	477307834	+	4641	1000	824	932	644	683	1011	704	864
HORVU.MOREX.r3.2HG0168610	2H	477556515	477559312	-	2798	535	848	747	374	618	817	478	650
HORVU.MOREX.r3.2HG0168640	2H	477814153	477820068	+	5916	5632	3768	5072	4567	3574	3850	4170	5002
HORVU.MOREX.r3.2HG0168650	2H	477823395	477824216	-	822	620	557	427	531	518	558	501	683
HORVU.MOREX.r3.2HG0168660	2H	477974038	477974745	-	708	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168690	2H	478057667	478059028	+	1362	0	0	0	0	2	0	0	0
HORVU.MOREX.r3.2HG0168700	2H	478146660	478148889	+	2230	17	23	24	20	30	25	20	42
HORVU.MOREX.r3.2HG0168720	2H	478158248	478163246	-	4999	494	429	412	335	337	505	406	484
HORVU.MOREX.r3.2HG0168730	2H	478596293	478600939	+	4647	1907	2115	1301	1516	1787	2369	1478	1968
HORVU.MOREX.r3.2HG0168760	2H	478611948	478613413	+	1466	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168770	2H	478704594	478706033	-	1440	21	43	26	9	18	46	17	32
HORVU.MOREX.r3.2HG0168780	2H	478708511	478749266	-	40756	1131	894	982	551	776	1024	965	941
HORVU.MOREX.r3.2HG0168790	2H	479020971	479022034	+	1064	62	95	82	49	128	84	52	113
HORVU.MOREX.r3.2HG0168820	2H	479125078	479127378	-	2301	1000	1770	1687	1186	1045	1308	960	1078
HORVU.MOREX.r3.2HG0168830	2H	479128345	479130198	-	1854	40	69	118	52	82	67	79	82
HORVU.MOREX.r3.2HG0168840	2H	479132242	479132730	+	489	2	0	2	2	3	0	2	2
HORVU.MOREX.r3.2HG0168860	2H	479137557	479137853	-	297	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168880	2H	479186437	479187210	+	774	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0168890	2H	479310752	479315365	-	4614	672	545	548	551	583	721	514	670
HORVU.MOREX.r3.2HG0168900	2H	479442117	479444604	-	2488	570	546	838	559	502	678	679	745
HORVU.MOREX.r3.2HG0168940	2H	479624038	479627390	-	3353	2206	2012	1719	1729	1794	2137	1654	1910
HORVU.MOREX.r3.2HG0168950	2H	479627911	479631053	-	3143	3491	4002	3128	3211	3437	3588	3228	4078
HORVU.MOREX.r3.2HG0168970	2H	479723644	479730347	+	6704	554	415	478	435	329	334	493	460
HORVU.MOREX.r3.2HG0168990	2H	480240545	480241234	+	690	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169000	2H	480306387	480307265	-	879	6	12	9	0	12	8	6	8
HORVU.MOREX.r3.2HG0169020	2H	480573370	480577520	-	4151	79	41	71	47	85	103	82	99
HORVU.MOREX.r3.2HG0169030	2H	480753979	480762094	-	8116	89	91	103	40	73	121	95	101
HORVU.MOREX.r3.2HG0169040	2H	480822631	480833096	-	10466	18	6	28	6	13	10	18	18
HORVU.MOREX.r3.2HG0169050	2H	481012434	481013107	+	674	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169090	2H	481132209	481135796	-	3588	819	645	617	596	550	988	529	722
HORVU.MOREX.r3.2HG0169130	2H	481410115	481412715	+	2601	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169150	2H	481768128	481769545	-	1418	162	131	618	353	220	142	350	361
HORVU.MOREX.r3.2HG0169220	2H	481950104	481950700	-	597	0	0	0	0	1	0	0	0
HORVU.MOREX.r3.2HG0169240	2H	481953587	481966097	-	12511	78	146	96	73	89	156	109	109
HORVU.MOREX.r3.2HG0169250	2H	481968047	481973678	-	5632	2944	2960	1189	2103	2399	3221	2121	2634
HORVU.MOREX.r3.2HG0169260	2H	482214665	482215987	+	1323	104	139	255	147	167	183	141	164
HORVU.MOREX.r3.2HG0169280	2H	482219495	482220497	+	1003	0	0	0	0	2	0	0	4
HORVU.MOREX.r3.2HG0169290	2H	482309331	482312253	+	2923	53	143	61	72	60	169	50	79
HORVU.MOREX.r3.2HG0169350	2H	482562540	482564645	-	2106	440	313	379	341	285	384	290	367
HORVU.MOREX.r3.2HG0169360	2H	482974443	482978319	+	3877	792	516	625	609	524	564	577	702
HORVU.MOREX.r3.2HG0169370	2H	482982984	482984083	-	1100	185	172	320	249	421	258	311	379
HORVU.MOREX.r3.2HG0169420	2H	483144378	483149576	-	5199	7139	4094	6877	5983	4659	5343	6541	5648
HORVU.MOREX.r3.2HG0169450	2H	483325461	483326084	+	624	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169520	2H	483629189	483632068	-	2880	18	2	10	2	4	3	0	6
HORVU.MOREX.r3.2HG0169530	2H	483632651	483634702	-	2052	3	3	7	0	1	4	0	5
HORVU.MOREX.r3.2HG0169540	2H	483635915	483638233	-	2319	23	29	11	8	17	44	15	8
HORVU.MOREX.r3.2HG0169570	2H	484025526	484026589	+	1064	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169580	2H	484070372	484071032	-	661	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169610	2H	484091752	484094541	+	2790	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169630	2H	484416989	484418197	+	1209	34	235	11	9	52	224	18	41
HORVU.MOREX.r3.2HG0169650	2H	484427465	484434442	-	6978	1251	1408	1347	880	1162	1593	1402	1309
HORVU.MOREX.r3.2HG0169670	2H	484517473	484520539	-	3067	512	381	586	419	361	520	457	547
HORVU.MOREX.r3.2HG0169680	2H	484520747	484522644	+	1898	45	42	49	29	39	26	38	56
HORVU.MOREX.r3.2HG0169690	2H	484523983	484525008	-	1026	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169700	2H	484632660	484634989	-	2330	310	405	174	264	310	456	199	388
HORVU.MOREX.r3.2HG0169710	2H	484669139	484672583	-	3445	217	114	133	199	57	124	127	86
HORVU.MOREX.r3.2HG0169720	2H	484673699	484678275	-	4577	426	434	369	271	272	408	336	438
HORVU.MOREX.r3.2HG0169770	2H	484926083	484926679	-	597	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169780	2H	484937268	484938206	-	939	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169800	2H	485027265	485028789	-	1525	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169810	2H	485030022	485030426	+	405	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169820	2H	485054135	485054978	+	844	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169830	2H	485055344	485056018	+	675	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169880	2H	485259889	485265387	+	5499	7253	4111	9520	4872	3568	5045	4543	5328
HORVU.MOREX.r3.2HG0169900	2H	485438698	485443903	-	5206	186	109	165	123	104	166	138	132
HORVU.MOREX.r3.2HG0169920	2H	485618149	485618874	-	726	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0169970	2H	486036186	486040243	-	4058	843	671	613	448	549	691	626	695
HORVU.MOREX.r3.2HG0170000	2H	486670771	486674545	+	3775	1056	921	828	848	871	1099	860	900
HORVU.MOREX.r3.2HG0170030	2H	487193480	487195870	-	2391	56	55	39	39	74	66	52	67
HORVU.MOREX.r3.2HG0170050	2H	487363168	487364271	+	1104	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170080	2H	487610952	487616111	-	5160	861	623	595	603	583	551	552	691
HORVU.MOREX.r3.2HG0170090	2H	488162250	488169459	+	7210	1483	1164	1328	1060	1126	1370	1164	1222
HORVU.MOREX.r3.2HG0170110	2H	488700557	488702335	+	1779	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170120	2H	488702606	488706589	-	3984	1821	1349	1558	1311	1573	1562	1052	1478
HORVU.MOREX.r3.2HG0170160	2H	489044334	489050545	-	6212	3334	2072	2552	2233	1930	2605	2020	2737
HORVU.MOREX.r3.2HG0170170	2H	489172955	489178239	-	5285	4904	3329	4109	3726	2906	4310	3649	4564
HORVU.MOREX.r3.2HG0170210	2H	489506920	489509541	+	2622	62	33	32	16	20	52	32	34
HORVU.MOREX.r3.2HG0170230	2H	489511370	489514490	+	3121	502	809	454	322	412	974	478	560
HORVU.MOREX.r3.2HG0170240	2H	489685361	489692329	+	6969	1905	1940	3090	1781	1415	2121	2277	2074
HORVU.MOREX.r3.2HG0170250	2H	489692250	489695041	-	2792	98	443	502	134	455	437	334	290
HORVU.MOREX.r3.2HG0170260	2H	490104869	490105258	+	390	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170290	2H	490343897	490352403	-	8507	6187	3165	3429	3851	3480	3840	3559	4039
HORVU.MOREX.r3.2HG0170300	2H	490520563	490523530	+	2968	182	97	76	83	108	128	97	93
HORVU.MOREX.r3.2HG0170320	2H	490624707	490625348	-	642	176	693	622	547	295	387	210	201
HORVU.MOREX.r3.2HG0170350	2H	490815294	490816144	-	851	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170360	2H	490817108	490818948	-	1841	0	0	0	0	0	0	0	2
HORVU.MOREX.r3.2HG0170370	2H	490919588	490941274	+	21687	0	0	0	1	0	4	0	0
HORVU.MOREX.r3.2HG0170390	2H	491158703	491163619	+	4917	550	388	357	331	352	431	392	470
HORVU.MOREX.r3.2HG0170400	2H	491164329	491165313	-	985	108	53	106	88	56	113	73	78
HORVU.MOREX.r3.2HG0170420	2H	491328701	491329596	-	896	1	1	3	1	2	5	4	1
HORVU.MOREX.r3.2HG0170460	2H	491338258	491338785	-	528	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170470	2H	491361960	491362733	+	774	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170510	2H	491571919	491572506	+	588	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170550	2H	491659164	491662551	+	3388	1853	1749	2865	1947	1663	1800	2040	2219
HORVU.MOREX.r3.2HG0170560	2H	491662935	491665145	+	2211	22	19	39	22	22	30	47	30
HORVU.MOREX.r3.2HG0170570	2H	491665665	491667698	-	2034	281	378	369	296	306	254	324	272
HORVU.MOREX.r3.2HG0170580	2H	491671755	491674332	-	2578	4044	6201	3163	3917	4397	4848	2492	4501
HORVU.MOREX.r3.2HG0170590	2H	491717489	491719196	-	1708	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170600	2H	491767103	491768859	-	1757	636	615	334	482	593	369	411	505
HORVU.MOREX.r3.2HG0170610	2H	491852349	491853708	-	1360	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170620	2H	491962864	491963644	-	781	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170640	2H	492030328	492031461	+	1134	263	99	277	227	194	143	307	228
HORVU.MOREX.r3.2HG0170670	2H	492059051	492059606	-	556	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170690	2H	492079817	492089127	-	9311	352	462	578	288	235	558	475	445
HORVU.MOREX.r3.2HG0170740	2H	492268925	492270102	+	1178	6	22	4	8	12	25	14	8
HORVU.MOREX.r3.2HG0170750	2H	492280136	492283426	+	3291	22	6	8	9	0	10	2	8
HORVU.MOREX.r3.2HG0170760	2H	492342638	492344126	-	1489	23	30	6	6	8	28	2	4
HORVU.MOREX.r3.2HG0170810	2H	492846813	492854587	-	7775	10723	7948	7877	7609	7549	9409	7778	9500
HORVU.MOREX.r3.2HG0170820	2H	493131722	493132189	-	468	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170840	2H	493299608	493303147	+	3540	1716	1446	1333	1526	1226	1557	1358	1581
HORVU.MOREX.r3.2HG0170860	2H	493303886	493305271	-	1386	18	34	5	12	18	12	18	23
HORVU.MOREX.r3.2HG0170880	2H	493652421	493652879	+	459	859	527	1765	1346	1461	516	1264	934
HORVU.MOREX.r3.2HG0170890	2H	493685298	493686404	+	1107	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170900	2H	493848386	493853055	+	4670	13044	7156	27699	16559	12332	10267	19339	18548
HORVU.MOREX.r3.2HG0170910	2H	494146308	494152214	+	5907	83	63	98	47	72	90	66	86
HORVU.MOREX.r3.2HG0170920	2H	494152383	494156182	-	3800	7	4	6	0	4	0	6	6
HORVU.MOREX.r3.2HG0170930	2H	494443872	494444839	+	968	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170940	2H	494445119	494447414	-	2296	0	0	0	0	0	0	0	0
HORVU.MOREX.r3.2HG0170990	2H	494760302	494761022	-	721	4730	6107	7394	5120	4738	4614	6108	6351
